agent,environment,gamma,instance_number,episode_number,max_steps,performed_steps,return,discounted_return,time
Q-Learning_1,TestGrid,0.9,1,1,10,10,0.0,0.0,0.00026500000000018176
Q-Learning_1,TestGrid,0.9,1,2,10,10,0.0,0.0,0.00021100000000018326
Q-Learning_1,TestGrid,0.9,1,3,10,10,0.0,0.0,0.00019700000000000273
Q-Learning_1,TestGrid,0.9,1,4,10,10,0.0,0.0,0.00020099999999967366
Q-Learning_1,TestGrid,0.9,1,5,10,10,0.0,0.0,0.00020100000000011775
Q-Learning_1,TestGrid,0.9,1,6,10,10,0.0,0.0,0.00021000000000004349
Q-Learning_1,TestGrid,0.9,1,7,10,10,0.0,0.0,0.00025000000000030553
Q-Learning_1,TestGrid,0.9,1,8,10,10,0.0,0.0,0.00024900000000016576
Q-Learning_1,TestGrid,0.9,1,9,10,10,0.0,0.0,0.00021699999999968966
Q-Learning_1,TestGrid,0.9,1,10,10,10,0.0,0.0,0.00021500000000029829
