x,y,a,q
1,1,0,9.601523775605443
1,1,1,9.602539919054491
1,1,2,9.606948164444365
1,1,3,9.607322436788746
1,2,0,9.81225625
1,2,1,9.8037225625
1,2,2,9.842086721220314
1,2,3,9.80575931875
1,3,0,9.900250000000002
1,3,1,9.857375000000001
1,3,2,9.895884437500001
1,3,3,9.895783693750003
2,1,0,9.752487531218751
2,1,1,9.760870437500001
2,1,2,9.75443559558008
2,1,3,9.727063476341527
2,2,0,10.000000000000002
2,2,1,10.000000000000002
2,2,2,10.000000000000002
2,2,3,10.000000000000002
2,3,0,9.950000000000001
2,3,1,10.000000000000002
2,3,2,10.000000000000002
2,3,3,9.947750000000001
3,1,0,9.8037225625
3,1,1,9.80159575
3,1,2,9.8037225625
3,1,3,9.79716240934375
3,2,0,10.000000000000002
3,2,1,10.000000000000002
3,2,2,10.000000000000002
3,2,3,10.000000000000002
3,3,0,10.000000000000002
3,3,1,10.000000000000002
3,3,2,10.000000000000002
3,3,3,10.000000000000002
