step,r,dr,cr,cdr
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,1.0,0.3874204890000001,1.0,0.3874204890000001
21,0.0,0.0,1.0,0.3874204890000001
22,0.0,0.0,1.0,0.3874204890000001
23,0.0,0.0,1.0,0.3874204890000001
24,0.0,0.0,1.0,0.3874204890000001
25,0.0,0.0,1.0,0.3874204890000001
26,0.0,0.0,1.0,0.3874204890000001
27,0.0,0.0,1.0,0.3874204890000001
28,0.0,0.0,1.0,0.3874204890000001
29,0.0,0.0,1.0,0.3874204890000001
30,0.0,0.0,1.0,0.3874204890000001
31,0.0,0.0,1.0,0.3874204890000001
32,0.0,0.0,1.0,0.3874204890000001
33,0.0,0.0,1.0,0.3874204890000001
34,0.0,0.0,1.0,0.3874204890000001
35,0.0,0.0,1.0,0.3874204890000001
36,0.0,0.0,1.0,0.3874204890000001
37,0.0,0.0,1.0,0.3874204890000001
38,0.0,0.0,1.0,0.3874204890000001
39,0.0,0.0,1.0,0.3874204890000001
40,0.0,0.0,1.0,0.3874204890000001
41,0.0,0.0,1.0,0.3874204890000001
42,0.0,0.0,1.0,0.3874204890000001
43,0.0,0.0,1.0,0.3874204890000001
44,0.0,0.0,1.0,0.3874204890000001
45,0.0,0.0,1.0,0.3874204890000001
46,0.0,0.0,1.0,0.3874204890000001
47,0.0,0.0,1.0,0.3874204890000001
48,0.0,0.0,1.0,0.3874204890000001
49,0.0,0.0,1.0,0.3874204890000001
50,0.0,0.0,1.0,0.3874204890000001
51,0.0,0.0,1.0,0.3874204890000001
52,0.0,0.0,1.0,0.3874204890000001
53,0.0,0.0,1.0,0.3874204890000001
54,0.0,0.0,1.0,0.3874204890000001
55,0.0,0.0,1.0,0.3874204890000001
56,0.0,0.0,1.0,0.3874204890000001
57,0.0,0.0,1.0,0.3874204890000001
58,1.0,0.4782969000000001,2.0,0.8657173890000002
59,1.0,0.4304672100000001,3.0,1.2961845990000003
60,1.0,0.3874204890000001,4.0,1.6836050880000004
61,0.0,0.0,4.0,1.6836050880000004
62,0.0,0.0,4.0,1.6836050880000004
63,0.0,0.0,4.0,1.6836050880000004
64,0.0,0.0,4.0,1.6836050880000004
65,0.0,0.0,4.0,1.6836050880000004
66,0.0,0.0,4.0,1.6836050880000004
67,0.0,0.0,4.0,1.6836050880000004
68,0.0,0.0,4.0,1.6836050880000004
69,0.0,0.0,4.0,1.6836050880000004
70,0.0,0.0,4.0,1.6836050880000004
71,0.0,0.0,4.0,1.6836050880000004
72,0.0,0.0,4.0,1.6836050880000004
73,0.0,0.0,4.0,1.6836050880000004
74,0.0,0.0,4.0,1.6836050880000004
75,0.0,0.0,4.0,1.6836050880000004
76,0.0,0.0,4.0,1.6836050880000004
77,0.0,0.0,4.0,1.6836050880000004
78,0.0,0.0,4.0,1.6836050880000004
79,0.0,0.0,4.0,1.6836050880000004
80,0.0,0.0,4.0,1.6836050880000004
81,0.0,0.0,4.0,1.6836050880000004
82,0.0,0.0,4.0,1.6836050880000004
83,0.0,0.0,4.0,1.6836050880000004
84,0.0,0.0,4.0,1.6836050880000004
85,0.0,0.0,4.0,1.6836050880000004
86,0.0,0.0,4.0,1.6836050880000004
87,0.0,0.0,4.0,1.6836050880000004
88,0.0,0.0,4.0,1.6836050880000004
89,0.0,0.0,4.0,1.6836050880000004
90,0.0,0.0,4.0,1.6836050880000004
91,0.0,0.0,4.0,1.6836050880000004
92,0.0,0.0,4.0,1.6836050880000004
93,0.0,0.0,4.0,1.6836050880000004
94,0.0,0.0,4.0,1.6836050880000004
95,0.0,0.0,4.0,1.6836050880000004
96,0.0,0.0,4.0,1.6836050880000004
97,0.0,0.0,4.0,1.6836050880000004
98,0.0,0.0,4.0,1.6836050880000004
99,0.0,0.0,4.0,1.6836050880000004
100,0.0,0.0,4.0,1.6836050880000004
