x,y,a,q
1,1,0,7.290000000000002
1,1,1,5.904900000000001
1,1,2,5.904900000000001
1,1,3,6.561000000000002
1,2,0,8.100000000000001
1,2,1,7.290000000000002
1,2,2,6.561000000000002
1,2,3,7.290000000000002
1,3,0,8.100000000000001
1,3,1,9.000000000000002
1,3,2,7.290000000000002
1,3,3,8.100000000000001
2,1,0,5.904900000000001
2,1,1,5.314410000000001
2,1,2,5.904900000000001
2,1,3,6.561000000000002
2,2,0,10.000000000000002
2,2,1,10.000000000000002
2,2,2,10.000000000000002
2,2,3,10.000000000000002
2,3,0,9.000000000000002
2,3,1,10.000000000000002
2,3,2,9.000000000000002
2,3,3,8.100000000000001
3,1,0,5.314410000000001
3,1,1,5.314410000000001
3,1,2,5.314410000000001
3,1,3,5.904900000000001
3,2,0,10.000000000000002
3,2,1,10.000000000000002
3,2,2,10.000000000000002
3,2,3,10.000000000000002
3,3,0,10.000000000000002
3,3,1,10.000000000000002
3,3,2,10.000000000000002
3,3,3,9.000000000000002
