step,r,dr,cr,cdr
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,1.0,0.4304672100000001,1.0,0.4304672100000001
20,0.0,0.0,1.0,0.4304672100000001
21,0.0,0.0,1.0,0.4304672100000001
22,0.0,0.0,1.0,0.4304672100000001
23,0.0,0.0,1.0,0.4304672100000001
24,0.0,0.0,1.0,0.4304672100000001
25,0.0,0.0,1.0,0.4304672100000001
26,0.0,0.0,1.0,0.4304672100000001
27,0.0,0.0,1.0,0.4304672100000001
28,0.0,0.0,1.0,0.4304672100000001
29,0.0,0.0,1.0,0.4304672100000001
30,0.0,0.0,1.0,0.4304672100000001
31,0.0,0.0,1.0,0.4304672100000001
32,0.0,0.0,1.0,0.4304672100000001
33,0.0,0.0,1.0,0.4304672100000001
34,0.0,0.0,1.0,0.4304672100000001
35,0.0,0.0,1.0,0.4304672100000001
36,0.0,0.0,1.0,0.4304672100000001
37,0.0,0.0,1.0,0.4304672100000001
38,0.0,0.0,1.0,0.4304672100000001
39,1.0,0.4304672100000001,2.0,0.8609344200000002
40,1.0,0.3874204890000001,3.0,1.2483549090000003
41,0.0,0.0,3.0,1.2483549090000003
42,0.0,0.0,3.0,1.2483549090000003
43,0.0,0.0,3.0,1.2483549090000003
44,0.0,0.0,3.0,1.2483549090000003
45,0.0,0.0,3.0,1.2483549090000003
46,1.0,0.5904900000000001,4.0,1.8388449090000005
47,1.0,0.531441,5.0,2.3702859090000006
48,1.0,0.4782969000000001,6.0,2.8485828090000007
49,1.0,0.4304672100000001,7.0,3.279050019000001
50,1.0,0.3874204890000001,8.0,3.666470508000001
51,0.0,0.0,8.0,3.666470508000001
52,0.0,0.0,8.0,3.666470508000001
53,0.0,0.0,8.0,3.666470508000001
54,0.0,0.0,8.0,3.666470508000001
55,0.0,0.0,8.0,3.666470508000001
56,1.0,0.5904900000000001,9.0,4.2569605080000015
57,1.0,0.531441,10.0,4.7884015080000015
58,1.0,0.4782969000000001,11.0,5.266698408000002
59,1.0,0.4304672100000001,12.0,5.697165618000001
60,1.0,0.3874204890000001,13.0,6.084586107000002
61,0.0,0.0,13.0,6.084586107000002
62,0.0,0.0,13.0,6.084586107000002
63,0.0,0.0,13.0,6.084586107000002
64,0.0,0.0,13.0,6.084586107000002
65,0.0,0.0,13.0,6.084586107000002
66,0.0,0.0,13.0,6.084586107000002
67,1.0,0.531441,14.0,6.616027107000002
68,1.0,0.4782969000000001,15.0,7.094324007000002
69,1.0,0.4304672100000001,16.0,7.5247912170000015
70,1.0,0.3874204890000001,17.0,7.912211706000002
71,0.0,0.0,17.0,7.912211706000002
72,0.0,0.0,17.0,7.912211706000002
73,0.0,0.0,17.0,7.912211706000002
74,1.0,0.7290000000000001,18.0,8.641211706000002
75,1.0,0.6561,19.0,9.297311706000002
76,1.0,0.5904900000000001,20.0,9.887801706000003
77,1.0,0.531441,21.0,10.419242706000002
78,1.0,0.4782969000000001,22.0,10.897539606000002
79,1.0,0.4304672100000001,23.0,11.328006816000002
80,1.0,0.3874204890000001,24.0,11.715427305000002
81,0.0,0.0,24.0,11.715427305000002
82,0.0,0.0,24.0,11.715427305000002
83,0.0,0.0,24.0,11.715427305000002
84,1.0,0.7290000000000001,25.0,12.444427305000001
85,1.0,0.6561,26.0,13.100527305000002
86,1.0,0.5904900000000001,27.0,13.691017305000003
87,1.0,0.531441,28.0,14.222458305000004
88,1.0,0.4782969000000001,29.0,14.700755205000004
89,1.0,0.4304672100000001,30.0,15.131222415000003
90,1.0,0.3874204890000001,31.0,15.518642904000004
91,0.0,0.0,31.0,15.518642904000004
92,0.0,0.0,31.0,15.518642904000004
93,0.0,0.0,31.0,15.518642904000004
94,1.0,0.7290000000000001,32.0,16.247642904000003
95,1.0,0.6561,33.0,16.903742904
96,1.0,0.5904900000000001,34.0,17.494232904
97,1.0,0.531441,35.0,18.025673904
98,1.0,0.4782969000000001,36.0,18.503970804
99,1.0,0.4304672100000001,37.0,18.934438014
100,1.0,0.3874204890000001,38.0,19.321858503
