agent,environment,gamma,instance_number,episode_number,max_steps,performed_steps,return,discounted_return,time
Random,TestGrid,0.9,3,1,10,10,0.0,0.0,6.899999999987472e-05
Random,TestGrid,0.9,3,2,10,10,0.0,0.0,5.8000000000113516e-05
Random,TestGrid,0.9,3,3,10,10,1.0,0.4304672100000001,9.399999999981645e-05
Random,TestGrid,0.9,3,4,10,10,0.0,0.0,4.500000000007276e-05
Random,TestGrid,0.9,3,5,10,10,0.0,0.0,4.300000000023729e-05
Random,TestGrid,0.9,3,6,10,10,0.0,0.0,4.300000000023729e-05
Random,TestGrid,0.9,3,7,10,10,0.0,0.0,4.099999999995774e-05
Random,TestGrid,0.9,3,8,10,10,0.0,0.0,4.300000000023729e-05
Random,TestGrid,0.9,3,9,10,10,0.0,0.0,4.2000000000097515e-05
Random,TestGrid,0.9,3,10,10,10,0.0,0.0,4.2999999999793204e-05
